ORG_CODE1,ORG_NAME1,ICB_NAME,FY_LABEL,mean_6wk_pct,n_months
03N,NHS SOUTH YORKSHIRE ICB - 03N,NHS SOUTH YORKSHIRE ICB,2025/26,98.88888888888889,9
04Y,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 04Y,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2024/25,95.5,4
04Y,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 04Y,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2025/26,85.22222222222223,9
05D,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05D,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2024/25,93.0,4
05D,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05D,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2025/26,81.55555555555556,9
05G,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05G,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2024/25,60.25,4
05G,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05G,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2025/26,61.44444444444444,9
05Q,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05Q,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2024/25,93.0,4
05Q,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05Q,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2025/26,80.44444444444444,9
05V,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05V,NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB,2024/25,95.75,4
